站点名称,站点图标,站点链接,站点说明,类别1,类别2,类别3,类别4,类别5
国家数字图书馆,http://www.nlc.cn/favicon.ico,http://www.nlc.cn/,国家数字图书馆,阅读与文档,电子书,古籍 / 典藏,,
中国国家图书馆,https://www.nlc.cn/favicon.ico,https://www.nlc.cn/,中国国家图书馆,阅读与文档,电子书,古籍 / 典藏,,
中国大学MOOC,https://www.icourse163.org/favicon.ico,https://www.icourse163.org/,国家精品课程平台,学习 & 知识,在线课程,MOOC 平台,,
学堂在线,https://www.xuetangx.com/favicon.ico,https://www.xuetangx.com/,中文MOOC平台,学习 & 知识,在线课程,MOOC 平台,,
网易公开课,https://open.163.com/favicon.ico,https://open.163.com/,网易视频公开课,学习 & 知识,在线课程,视频公开课,,
腾讯课堂,https://ke.qq.com/favicon.ico,https://ke.qq.com/,腾讯在线职业教育,学习 & 知识,在线课程,专业培训课程,,
W3Schools,https://www.w3schools.com/favicon.ico,https://www.w3schools.com/,Web开发教程网站,学习 & 知识,教程,编程教程,,
菜鸟教程,https://www.runoob.com/favicon.ico,https://www.runoob.com/,中文编程学习网站,学习 & 知识,教程,编程教程,,
牛客网,https://www.nowcoder.com/favicon.ico,https://www.nowcoder.com/,IT求职笔试面试平台,学习 & 知识,考试相关,题库 / 真题,,
LeetCode,https://leetcode.com/favicon.ico,https://leetcode.com/,程序员刷题平台,学习 & 知识,考试相关,题库 / 真题,,
有道云笔记,https://note.youdao.com/favicon.ico,https://note.youdao.com/,在线笔记工具,学习 & 知识,学习工具,笔记 / 知识管理,思维导图,
幕布,https://mubu.com/favicon.ico,https://mubu.com/,在线思维导图工具,学习 & 知识,学习工具,笔记 / 知识管理,思维导图,
XMind,https://www.xmind.cn/favicon.ico,https://www.xmind.cn/,思维导图软件,学习 & 知识,学习工具,笔记 / 知识管理,大纲笔记,
Anki,https://apps.ankiweb.net/favicon.ico,https://apps.ankiweb.net/,记忆卡片软件,学习 & 知识,学习工具,记忆 / 背单词,,
百词斩,https://www.baicizhan.com/favicon.ico,https://www.baicizhan.com/,背单词应用,学习 & 知识,学习工具,记忆 / 背单词,,
番茄土豆,https://pomotodo.com/favicon.ico,https://pomotodo.com/,时间管理工具,学习 & 知识,学习工具,时间管理,,
WPS Office,https://www.wps.cn/favicon.ico,https://www.wps.cn/,办公软件套装,软件 & 系统,常用软件,办公软件,,
WinRAR,https://www.win-rar.com/favicon.ico,https://www.win-rar.com/,压缩解压软件,软件 & 系统,常用软件,压缩 / 解压,,
7-Zip,https://www.7-zip.org/favicon.ico,https://www.7-zip.org/,免费压缩软件,软件 & 系统,常用软件,压缩 / 解压,,
IDM,https://www.internetdownloadmanager.com/favicon.ico,https://www.internetdownloadmanager.com/,下载工具,软件 & 系统,常用软件,下载工具,,
迅雷,https://www.xunlei.com/favicon.ico,https://www.xunlei.com/,迅雷下载工具,软件 & 系统,常用软件,下载工具,,
PotPlayer,https://potplayer.daum.net/favicon.ico,https://potplayer.daum.net/,多媒体播放器,软件 & 系统,常用软件,多媒体软件,,
VLC,https://www.videolan.org/favicon.ico,https://www.videolan.org/,开源多媒体播放器,软件 & 系统,常用软件,多媒体软件,,
Photoshop,https://www.adobe.com/favicon.ico,https://www.adobe.com/products/photoshop.html,图像处理软件,软件 & 系统,Adobe 系列,Photoshop,,
Premiere,https://www.adobe.com/favicon.ico,https://www.adobe.com/products/premiere.html,视频编辑软件,软件 & 系统,Adobe 系列,Premiere / After Effects,,
After Effects,https://www.adobe.com/favicon.ico,https://www.adobe.com/products/aftereffects.html,动态图形和视觉效果,软件 & 系统,Adobe 系列,Premiere / After Effects,,
Illustrator,https://www.adobe.com/favicon.ico,https://www.adobe.com/products/illustrator.html,矢量图形设计软件,软件 & 系统,Adobe 系列,Illustrator / InDesign,,
InDesign,https://www.adobe.com/favicon.ico,https://www.adobe.com/products/indesign.html,排版设计软件,软件 & 系统,Adobe 系列,Illustrator / InDesign,,
MSDN,https://msdn.itellyou.cn/favicon.ico,https://msdn.itellyou.cn/,系统镜像下载,软件 & 系统,系统相关,系统镜像,,
微PE工具箱,https://www.wepe.com.cn/favicon.ico,https://www.wepe.com.cn/,PE系统工具箱,软件 & 系统,系统相关,PE 工具,,
VMware,https://www.vmware.com/favicon.ico,https://www.vmware.com/,虚拟机软件,软件 & 系统,系统相关,虚拟机 / 模拟器,,
Docker,https://www.docker.com/favicon.ico,https://www.docker.com/,容器化平台,软件 & 系统,系统相关,虚拟机 / 模拟器,,
CCleaner,https://www.ccleaner.com/favicon.ico,https://www.ccleaner.com/,系统优化工具,软件 & 系统,系统相关,系统优化工具,,
驱动精灵,https://www.drivergenius.com/favicon.ico,https://www.drivergenius.com/,驱动管理工具,软件 & 系统,系统相关,驱动管理,,
火绒安全,https://www.huorong.cn/favicon.ico,https://www.huorong.cn/,国产安全软件,软件 & 系统,安全与维护,杀毒软件,,
腾讯电脑管家,https://guanjia.qq.com/favicon.ico,https://guanjia.qq.com/,电脑安全防护,软件 & 系统,安全与维护,系统安全,,
Recuva,https://www.ccleaner.com/favicon.ico,https://www.ccleaner.com/recuva,数据恢复工具,软件 & 系统,安全与维护,数据恢复 / 备份,,
图床,https://sm.ms/favicon.ico,https://sm.ms/,免费图片上传,效率 & 工具,在线工具,图片处理,,
TinyPNG,https://tinypng.com/favicon.ico,https://tinypng.com/,在线图片压缩,效率 & 工具,在线工具,图片处理,,
在线文本处理,https://www.textfixer.com/favicon.ico,https://www.textfixer.com/,文本处理工具,效率 & 工具,在线工具,文本处理,,
格式工厂,https://www.pcfreetime.com/favicon.ico,https://www.pcfreetime.com/,多媒体格式转换,效率 & 工具,在线工具,视频 / 音频处理,,
Everything,https://www.voidtools.com/favicon.ico,https://www.voidtools.com/,本地文件搜索工具,效率 & 工具,文件管理,本地文件搜索,,
百度网盘,https://pan.baidu.com/favicon.ico,https://pan.baidu.com/,百度云盘服务,效率 & 工具,文件管理,网盘管理,,
阿里云盘,https://www.aliyundrive.com/favicon.ico,https://www.aliyundrive.com/,阿里云盘服务,效率 & 工具,文件管理,网盘管理,,
搜狗输入法,https://pinyin.sogou.com/favicon.ico,https://pinyin.sogou.com/,搜狗拼音输入法,效率 & 工具,输入与翻译,输入法,,
百度输入法,https://ime.baidu.com/favicon.ico,https://ime.baidu.com/,百度输入法,效率 & 工具,输入与翻译,输入法,,
有道翻译,https://fanyi.youdao.com/favicon.ico,https://fanyi.youdao.com/,在线翻译工具,效率 & 工具,输入与翻译,翻译工具,,
AutoHotkey,https://www.autohotkey.com/favicon.ico,https://www.autohotkey.com/,自动化脚本工具,效率 & 工具,自动化,脚本工具,,
IFTTT,https://ifttt.com/favicon.ico,https://ifttt.com/,自动化任务工具,效率 & 工具,自动化,自动化办公,,
文心一言,https://yiyan.baidu.com/favicon.ico,https://yiyan.baidu.com/,百度文心一言,AI & 技术,AI 工具,AI 搜索 / 助手,,
通义千问,https://tongyi.aliyun.com/favicon.ico,https://tongyi.aliyun.com/,阿里通义千问,AI & 技术,AI 工具,AI 搜索 / 助手,,
GitHub Copilot,https://copilot.github.com/favicon.ico,https://copilot.github.com/,AI编程助手,AI & 技术,AI 工具,编程辅助,,
React,https://reactjs.org/favicon.ico,https://reactjs.org/,用于构建用户界面的JavaScript库,AI & 技术,开发资源,前端框架,,
Vue.js,https://vuejs.org/images/logo.png,https://vuejs.org/,渐进式JavaScript框架,AI & 技术,开发资源,前端框架,,
Spring Boot,https://spring.io/favicon.ico,https://spring.io/projects/spring-boot/,Java微服务框架,AI & 技术,开发资源,后端框架,,
Docker,https://www.docker.com/favicon.ico,https://www.docker.com/,容器化平台,AI & 技术,开发资源,运维 / DevOps,,
Kubernetes,https://kubernetes.io/images/favicon.png,https://kubernetes.io/,容器编排系统,AI & 技术,开发资源,运维 / DevOps,,
MySQL,https://www.mysql.com/favicon.ico,https://www.mysql.com/,开源关系数据库,AI & 技术,开发资源,数据库 / API,,
Redis,https://redis.io/favicon.ico,https://redis.io/,内存数据库,AI & 技术,开发资源,数据库 / API,,
菜鸟教程,https://www.runoob.com/favicon.ico,https://www.runoob.com/,中文编程学习网站,AI & 技术,编程学习,Web 开发,,
LeetCode,https://leetcode.com/favicon.ico,https://leetcode.com/,程序员刷题平台,AI & 技术,编程学习,机器学习 / 数据科学,,
Kaggle,https://www.kaggle.com/favicon.ico,https://www.kaggle.com/,数据科学竞赛平台,AI & 技术,编程学习,机器学习 / 数据科学,,
Unsplash,https://unsplash.com/favicon.ico,https://unsplash.com/,高质量免费图片,设计 & 创意,图片素材,免费图库,,
Pexels,https://www.pexels.com/favicon.ico,https://www.pexels.com/,免费图片资源,设计 & 创意,图片素材,免费图库,,
Pixabay,https://pixabay.com/favicon.ico,https://pixabay.com/,免费图片视频资源,设计 & 创意,图片素材,免费图库,,
爱给网,https://www.aigei.com/favicon.ico,https://www.aigei.com/,免费素材下载,设计 & 创意,视频素材,剪辑素材,,
爱剪辑,https://www.aijianji.com/favicon.ico,https://www.aijianji.com/,视频剪辑软件,设计 & 创意,视频素材,剪辑素材,,
Free Music Archive,https://freemusicarchive.org/favicon.ico,https://freemusicarchive.org/,免费音乐资源,设计 & 创意,视频素材,音效 / 背景音乐,,
字由,https://www.hellofont.cn/favicon.ico,https://www.hellofont.cn/,字体设计平台,设计 & 创意,字体 / 图标,免费字体,,
求字体,https://www.qiuziti.com/favicon.ico,https://www.qiuziti.com/,字体识别工具,设计 & 创意,字体 / 图标,免费字体,,
Iconfont,https://www.iconfont.cn/favicon.ico,https://www.iconfont.cn/,阿里巴巴矢量图标库,设计 & 创意,字体 / 图标,图标库,,
UI中国,https://www.ui.cn/favicon.ico,https://www.ui.cn/,UI设计平台,设计 & 创意,UI / 配色,UI Kits,,
Dribbble,https://dribbble.com/favicon.ico,https://dribbble.com/,设计师作品分享平台,设计 & 创意,UI / 配色,UI Kits,,
Coolors,https://coolors.co/favicon.ico,https://coolors.co/,配色方案生成器,设计 & 创意,UI / 配色,配色灵感网站,,
Adobe Color,https://color.adobe.com/favicon.ico,https://color.adobe.com/,Adobe配色工具,设计 & 创意,UI / 配色,配色灵感网站,,
磁力猫,https://www.cilimao.at/favicon.ico,https://www.cilimao.at/,磁力链搜索,网络资源,下载,BT / 磁力 / 种子,,
TorrentKitty,https://www.torrentkitty.net/favicon.ico,https://www.torrentkitty.net/,BT种子搜索,网络资源,下载,BT / 磁力 / 种子,,
阿里云盘,https://www.aliyundrive.com/favicon.ico,https://www.aliyundrive.com/,阿里云盘服务,网络资源,网盘,网盘搜索引擎,,
夸克网盘,https://pan.quark.cn/favicon.ico,https://pan.quark.cn/,夸克网盘搜索,网络资源,网盘,网盘搜索引擎,,
小众论坛,https://www.appinn.com/favicon.ico,https://www.appinn.com/,小众软件分享,网络资源,网盘,分享社区,,
Adblock Plus,https://adblockplus.org/favicon.ico,https://adblockplus.org/,广告拦截插件,网络资源,上网辅助,广告拦截,,
uBlock Origin,https://ublockorigin.com/favicon.ico,https://ublockorigin.com/,轻量级广告拦截,网络资源,上网辅助,广告拦截,,
CPU-Z,https://www.cpuid.com/favicon.ico,https://www.cpuid.com/,硬件检测工具,硬件 & 数码,装机 / DIY,硬件驱动工具,,
GPU-Z,https://www.techpowerup.com/favicon.ico,https://www.techpowerup.com/gpuz/,显卡检测工具,硬件 & 数码,装机 / DIY,硬件驱动工具,,
驱动人生,https://www.160.com/favicon.ico,https://www.160.com/,驱动管理工具,硬件 & 数码,装机 / DIY,硬件驱动工具,,
Android Developers,https://developer.android.com/favicon.ico,https://developer.android.com/,安卓开发者平台,硬件 & 数码,手机 / 平板,安卓资源,,
APKMirror,https://www.apkmirror.com/favicon.ico,https://www.apkmirror.com/,安卓APK下载,硬件 & 数码,手机 / 平板,安卓资源,,
App Store,https://www.apple.com/favicon.ico,https://www.apple.com/ios/app-store/,苹果应用商店,硬件 & 数码,手机 / 平板,iOS 资源,,
中关村在线,https://www.zol.com.cn/favicon.ico,https://www.zol.com.cn/,数码产品评测,硬件 & 数码,数码资讯,评测,,
太平洋电脑网,https://www.pconline.com.cn/favicon.ico,https://www.pconline.com.cn/,电脑硬件资讯,硬件 & 数码,数码资讯,评测,,
